inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
3.11,62.19,27.64,84.09,DoorCLOSED,PowerON,145.15,CompressorON,0.05,Saturday 04.01.2025 -- 00:00:00,0
8.91,91.21,25.96,80.69,DoorCLOSED,PowerON,182.91,CompressorOFF,1.34,Saturday 04.01.2025 -- 00:00:05,1
3.17,74.35,28.62,82.1,DoorCLOSED,PowerON,47.63,CompressorOFF,0.12,Saturday 04.01.2025 -- 00:00:10,0
6.95,87.54,21.47,77.14,DoorOPEN,PowerON,130.67,CompressorON,0.36,Saturday 04.01.2025 -- 00:00:15,0
3.38,46.34,31.86,67.34,DoorCLOSED,PowerON,103.45,CompressorON,0.23,Saturday 04.01.2025 -- 00:00:20,0
2.02,64.85,23.63,87.66,DoorCLOSED,PowerON,102.17,CompressorON,0.02,Saturday 04.01.2025 -- 00:00:25,0
3.7,74.57,29.36,89.77,DoorCLOSED,PowerON,52.18,CompressorOFF,0.03,Saturday 04.01.2025 -- 00:00:30,0
5.3,66.27,22.41,88.73,DoorCLOSED,PowerON,28.75,CompressorOFF,0.39,Saturday 04.01.2025 -- 00:00:35,0
7.74,65.19,27.62,72.2,DoorOPEN,PowerON,99.61,CompressorON,0.11,Saturday 04.01.2025 -- 00:00:40,0
2.87,53.47,22.53,52.07,DoorCLOSED,PowerON,133.21,CompressorON,0.28,Saturday 04.01.2025 -- 00:00:45,0
5.13,58.55,19.66,65.45,DoorCLOSED,PowerON,24.68,CompressorOFF,0.04,Saturday 04.01.2025 -- 00:00:50,0
4.16,65.4,28.05,62.7,DoorCLOSED,PowerON,31.35,CompressorOFF,0.12,Saturday 04.01.2025 -- 00:00:55,0
2.61,56.24,30.17,65.3,DoorCLOSED,PowerON,157.98,CompressorON,0.15,Saturday 04.01.2025 -- 00:01:00,0
4.18,70.41,30.39,55.04,DoorCLOSED,PowerON,21.68,CompressorOFF,0.11,Saturday 04.01.2025 -- 00:01:05,0
6.98,84.22,29.59,71.02,DoorCLOSED,PowerON,186.05,CompressorOFF,0.89,Saturday 04.01.2025 -- 00:01:10,1
3.52,66.79,24.48,79.51,DoorCLOSED,PowerON,94.86,CompressorON,1.29,Saturday 04.01.2025 -- 00:01:15,0
8.65,80.2,28.52,66.26,DoorCLOSED,PowerON,214.04,CompressorON,1.48,Saturday 04.01.2025 -- 00:01:20,1
5.41,55.7,19.28,51.39,DoorCLOSED,PowerON,52.56,CompressorOFF,0.12,Saturday 04.01.2025 -- 00:01:25,0
10.35,76.22,28.69,83.58,DoorCLOSED,PowerON,222.24,CompressorOFF,1.06,Saturday 04.01.2025 -- 00:01:30,1
10.69,89.69,29.69,79.15,DoorCLOSED,PowerON,219.72,CompressorOFF,0.91,Saturday 04.01.2025 -- 00:01:35,1
1.83,50.17,28.88,79.51,DoorCLOSED,PowerON,155.49,CompressorON,0.39,Saturday 04.01.2025 -- 00:01:40,0
3.0,46.88,24.4,52.85,DoorCLOSED,PowerON,44.58,CompressorOFF,0.09,Saturday 04.01.2025 -- 00:01:45,0
4.19,52.58,22.13,81.46,DoorCLOSED,PowerON,35.89,CompressorOFF,0.42,Saturday 04.01.2025 -- 00:01:50,0
5.25,50.92,25.6,77.2,DoorCLOSED,PowerON,48.65,CompressorOFF,0.13,Saturday 04.01.2025 -- 00:01:55,0
7.57,81.12,25.66,76.77,DoorCLOSED,PowerON,219.3,CompressorOFF,1.06,Saturday 04.01.2025 -- 00:02:00,1
2.05,73.24,20.41,60.36,DoorCLOSED,PowerON,158.42,CompressorON,0.04,Saturday 04.01.2025 -- 00:02:05,0
