inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
3.41,45.95,18.93,64.5,DoorCLOSED,PowerON,23.11,CompressorOFF,0.23,Sunday 05.01.2025 -- 00:00:00,0
4.33,72.15,26.54,60.32,DoorCLOSED,PowerON,50.29,CompressorOFF,0.3,Sunday 05.01.2025 -- 00:00:05,0
4.26,73.04,30.1,73.88,DoorCLOSED,PowerON,37.32,CompressorOFF,0.35,Sunday 05.01.2025 -- 00:00:10,0
4.88,54.17,30.41,55.32,DoorCLOSED,PowerON,57.41,CompressorOFF,0.3,Sunday 05.01.2025 -- 00:00:15,0
5.13,74.58,22.74,72.94,DoorCLOSED,PowerON,57.79,CompressorOFF,0.25,Sunday 05.01.2025 -- 00:00:20,0
2.85,68.31,21.65,76.96,DoorCLOSED,PowerON,127.08,CompressorON,0.22,Sunday 05.01.2025 -- 00:00:25,0
3.8,66.93,29.96,76.52,DoorCLOSED,PowerON,99.79,CompressorON,0.39,Sunday 05.01.2025 -- 00:00:30,0
3.16,49.88,27.96,57.38,DoorCLOSED,PowerON,128.18,CompressorON,0.04,Sunday 05.01.2025 -- 00:00:35,0
4.44,68.36,30.72,63.87,DoorCLOSED,PowerON,57.14,CompressorOFF,0.12,Sunday 05.01.2025 -- 00:00:40,0
2.84,52.2,30.4,72.14,DoorCLOSED,PowerON,155.68,CompressorON,0.34,Sunday 05.01.2025 -- 00:00:45,0
4.26,57.36,29.02,68.86,DoorCLOSED,PowerON,59.8,CompressorOFF,0.09,Sunday 05.01.2025 -- 00:00:50,0
2.84,62.74,18.03,62.93,DoorCLOSED,PowerON,143.95,CompressorON,1.09,Sunday 05.01.2025 -- 00:00:55,0
2.35,62.17,28.18,58.66,DoorCLOSED,PowerON,155.38,CompressorON,0.21,Sunday 05.01.2025 -- 00:01:00,0
1.9,63.71,22.22,58.27,DoorCLOSED,PowerON,137.59,CompressorON,0.31,Sunday 05.01.2025 -- 00:01:05,0
4.13,60.55,27.59,84.76,DoorCLOSED,PowerON,47.23,CompressorOFF,0.42,Sunday 05.01.2025 -- 00:01:10,0
4.91,62.49,26.04,81.69,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.25,Sunday 05.01.2025 -- 00:01:15,0
1.9,61.58,23.0,76.15,DoorCLOSED,PowerON,102.07,CompressorON,0.07,Sunday 05.01.2025 -- 00:01:20,0
6.42,81.45,29.36,66.16,DoorOPEN,PowerON,131.86,CompressorON,0.45,Sunday 05.01.2025 -- 00:01:25,0
4.34,60.21,26.45,68.3,DoorCLOSED,PowerON,52.31,CompressorOFF,0.43,Sunday 05.01.2025 -- 00:01:30,0
9.53,81.01,30.73,78.17,DoorCLOSED,PowerON,183.25,CompressorOFF,1.3,Sunday 05.01.2025 -- 00:01:35,1
3.84,69.25,20.54,80.49,DoorCLOSED,PowerON,49.46,CompressorOFF,0.05,Sunday 05.01.2025 -- 00:01:40,0
5.87,65.39,23.23,69.81,DoorCLOSED,PowerON,154.35,CompressorON,0.2,Sunday 05.01.2025 -- 00:01:45,0
4.38,64.22,22.83,77.05,DoorCLOSED,PowerON,20.55,CompressorOFF,0.27,Sunday 05.01.2025 -- 00:01:50,0
3.69,52.07,18.34,80.09,DoorCLOSED,PowerON,58.73,CompressorOFF,0.23,Sunday 05.01.2025 -- 00:01:55,0
9.02,85.61,33.04,62.16,DoorCLOSED,PowerON,240.08,CompressorON,1.58,Sunday 05.01.2025 -- 00:02:00,1
5.23,67.29,23.33,79.36,DoorCLOSED,PowerON,44.06,CompressorOFF,0.29,Sunday 05.01.2025 -- 00:02:05,0
5.77,70.38,31.75,88.44,DoorOPEN,PowerON,118.32,CompressorON,1.14,Sunday 05.01.2025 -- 00:02:10,0
3.83,71.67,29.45,82.08,DoorCLOSED,PowerON,143.17,CompressorON,0.27,Sunday 05.01.2025 -- 00:02:15,0
2.24,49.61,19.76,71.38,DoorCLOSED,PowerON,144.03,CompressorON,0.16,Sunday 05.01.2025 -- 00:02:20,0
5.5,60.11,25.3,80.31,DoorCLOSED,PowerON,36.45,CompressorOFF,0.31,Sunday 05.01.2025 -- 00:02:25,0
4.14,48.52,30.43,58.71,DoorCLOSED,PowerON,44.58,CompressorOFF,0.04,Sunday 05.01.2025 -- 00:02:30,0
3.57,58.89,20.6,81.9,DoorCLOSED,PowerON,90.89,CompressorON,0.28,Sunday 05.01.2025 -- 00:02:35,0
4.84,52.14,25.66,81.5,DoorCLOSED,PowerON,32.43,CompressorOFF,0.34,Sunday 05.01.2025 -- 00:02:40,0
4.02,53.58,31.54,73.18,DoorCLOSED,PowerON,106.6,CompressorON,0.73,Sunday 05.01.2025 -- 00:02:45,0
4.64,58.42,23.89,52.69,DoorCLOSED,PowerON,55.93,CompressorOFF,0.38,Sunday 05.01.2025 -- 00:02:50,0
3.7,67.45,21.93,77.52,DoorCLOSED,PowerON,32.48,CompressorOFF,0.37,Sunday 05.01.2025 -- 00:02:55,0
3.27,52.16,31.57,85.01,DoorCLOSED,PowerON,146.39,CompressorON,0.22,Sunday 05.01.2025 -- 00:03:00,0
5.11,73.96,30.61,71.5,DoorCLOSED,PowerON,105.6,CompressorON,0.12,Sunday 05.01.2025 -- 00:03:05,0
3.24,50.02,24.98,63.96,DoorCLOSED,PowerON,139.21,CompressorON,0.31,Sunday 05.01.2025 -- 00:03:10,0
2.12,73.11,20.36,66.69,DoorCLOSED,PowerON,134.32,CompressorON,0.54,Sunday 05.01.2025 -- 00:03:15,0
3.65,67.34,19.02,79.15,DoorCLOSED,PowerON,34.81,CompressorOFF,0.35,Sunday 05.01.2025 -- 00:03:20,0
4.82,80.33,19.91,79.78,DoorOPEN,PowerON,142.38,CompressorON,0.11,Sunday 05.01.2025 -- 00:03:25,0
1.84,63.32,22.08,52.11,DoorCLOSED,PowerON,98.29,CompressorON,0.28,Sunday 05.01.2025 -- 00:03:30,0
4.73,54.67,22.25,76.38,DoorCLOSED,PowerON,38.27,CompressorOFF,0.08,Sunday 05.01.2025 -- 00:03:35,0
5.01,74.97,30.44,74.42,DoorCLOSED,PowerON,41.42,CompressorOFF,0.26,Sunday 05.01.2025 -- 00:03:40,0
4.18,61.95,27.52,76.85,DoorCLOSED,PowerON,149.49,CompressorON,0.21,Sunday 05.01.2025 -- 00:03:45,0
3.68,69.63,29.1,83.68,DoorCLOSED,PowerON,21.88,CompressorOFF,0.14,Sunday 05.01.2025 -- 00:03:50,0
10.31,79.83,25.76,88.28,DoorCLOSED,PowerON,198.64,CompressorON,1.56,Sunday 05.01.2025 -- 00:03:55,1
