inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
1.94,55.88,20.03,74.93,DoorCLOSED,PowerON,154.15,CompressorON,0.81,Monday 06.01.2025 -- 00:00:00,0
5.22,71.71,22.65,54.04,DoorCLOSED,PowerON,45.8,CompressorOFF,0.04,Monday 06.01.2025 -- 00:00:05,0
3.88,60.16,29.27,54.51,DoorOPEN,PowerON,102.13,CompressorON,0.11,Monday 06.01.2025 -- 00:00:10,0
3.89,61.62,22.58,52.31,DoorCLOSED,PowerON,41.75,CompressorOFF,0.11,Monday 06.01.2025 -- 00:00:15,0
4.82,52.11,29.91,75.85,DoorCLOSED,PowerON,30.42,CompressorOFF,0.09,Monday 06.01.2025 -- 00:00:20,0
5.07,75.36,27.88,66.11,DoorOPEN,PowerON,159.86,CompressorON,0.44,Monday 06.01.2025 -- 00:00:25,0
7.12,56.17,21.76,86.26,DoorCLOSED,PowerON,59.05,CompressorOFF,0.4,Monday 06.01.2025 -- 00:00:30,0
3.72,65.26,23.7,77.56,DoorCLOSED,PowerON,130.88,CompressorON,0.23,Monday 06.01.2025 -- 00:00:35,0
3.6,53.75,18.42,81.06,DoorCLOSED,PowerON,146.59,CompressorON,0.26,Monday 06.01.2025 -- 00:00:40,0
3.4,59.08,23.04,67.5,DoorCLOSED,PowerON,139.2,CompressorON,0.35,Monday 06.01.2025 -- 00:00:45,0
3.76,82.54,22.69,80.5,DoorOPEN,PowerON,135.86,CompressorON,0.15,Monday 06.01.2025 -- 00:00:50,0
2.73,70.78,24.19,85.54,DoorCLOSED,PowerON,100.58,CompressorON,0.25,Monday 06.01.2025 -- 00:00:55,0
3.32,46.06,27.31,83.14,DoorCLOSED,PowerON,39.1,CompressorOFF,0.37,Monday 06.01.2025 -- 00:01:00,0
2.44,58.7,25.84,83.56,DoorCLOSED,PowerON,108.42,CompressorON,0.27,Monday 06.01.2025 -- 00:01:05,0
8.05,87.63,30.0,91.51,DoorCLOSED,PowerON,225.36,CompressorON,1.43,Monday 06.01.2025 -- 00:01:10,1
