inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
4.06,47.26,29.41,54.96,DoorCLOSED,PowerON,49.19,CompressorOFF,0.25,Tuesday 14.01.2025 -- 00:00:00,0
7.3,66.96,26.15,74.68,DoorOPEN,PowerON,137.19,CompressorON,0.08,Tuesday 14.01.2025 -- 00:00:05,0
4.26,58.52,28.14,76.78,DoorCLOSED,PowerON,40.62,CompressorOFF,0.13,Tuesday 14.01.2025 -- 00:00:10,0
7.68,57.54,25.89,59.1,DoorCLOSED,PowerON,94.68,CompressorON,0.31,Tuesday 14.01.2025 -- 00:00:15,0
4.78,46.25,30.03,79.97,DoorCLOSED,PowerON,44.64,CompressorOFF,0.18,Tuesday 14.01.2025 -- 00:00:20,0
4.92,71.45,31.87,50.4,DoorOPEN,PowerON,93.75,CompressorON,0.67,Tuesday 14.01.2025 -- 00:00:25,0
5.66,79.15,31.74,57.36,DoorOPEN,PowerON,119.8,CompressorON,0.34,Tuesday 14.01.2025 -- 00:00:30,0
2.7,47.84,24.8,78.58,DoorCLOSED,PowerON,129.03,CompressorON,0.34,Tuesday 14.01.2025 -- 00:00:35,0
2.59,47.92,27.15,78.76,DoorCLOSED,PowerON,106.1,CompressorON,0.03,Tuesday 14.01.2025 -- 00:00:40,0
6.76,74.27,18.17,55.63,DoorOPEN,PowerOFF,0.0,CompressorOFF,0.13,Tuesday 14.01.2025 -- 00:00:45,0
3.57,53.34,30.18,87.4,DoorCLOSED,PowerON,215.91,CompressorON,0.02,Tuesday 14.01.2025 -- 00:00:50,0
6.2,52.94,25.0,58.68,DoorCLOSED,PowerON,93.23,CompressorON,0.33,Tuesday 14.01.2025 -- 00:00:55,0
4.16,74.63,20.88,80.42,DoorCLOSED,PowerON,109.92,CompressorON,0.34,Tuesday 14.01.2025 -- 00:01:00,0
3.49,46.93,29.12,80.02,DoorCLOSED,PowerON,144.25,CompressorON,0.35,Tuesday 14.01.2025 -- 00:01:05,0
4.09,52.64,18.82,77.0,DoorCLOSED,PowerON,144.05,CompressorON,0.07,Tuesday 14.01.2025 -- 00:01:10,0
3.55,67.14,24.67,63.44,DoorCLOSED,PowerON,107.45,CompressorON,0.12,Tuesday 14.01.2025 -- 00:01:15,0
3.99,65.88,21.2,79.3,DoorCLOSED,PowerON,159.12,CompressorON,0.34,Tuesday 14.01.2025 -- 00:01:20,0
4.44,85.01,28.66,83.68,DoorOPEN,PowerON,103.28,CompressorON,0.43,Tuesday 14.01.2025 -- 00:01:25,0
