inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
2.95,55.52,30.35,86.58,DoorCLOSED,PowerON,128.03,CompressorON,0.18,Friday 10.01.2025 -- 00:00:00,0
6.6,82.84,30.41,57.33,DoorOPEN,PowerON,122.31,CompressorON,0.03,Friday 10.01.2025 -- 00:00:05,0
2.16,45.53,26.49,76.65,DoorCLOSED,PowerON,146.84,CompressorON,0.43,Friday 10.01.2025 -- 00:00:10,0
6.0,59.96,27.96,52.15,DoorCLOSED,PowerON,117.77,CompressorON,0.03,Friday 10.01.2025 -- 00:00:15,0
4.9,71.85,20.74,79.58,DoorCLOSED,PowerON,47.89,CompressorOFF,0.33,Friday 10.01.2025 -- 00:00:20,0
3.35,51.4,20.74,75.2,DoorCLOSED,PowerON,58.55,CompressorOFF,0.18,Friday 10.01.2025 -- 00:00:25,0
4.49,56.78,28.34,78.02,DoorCLOSED,PowerON,37.63,CompressorOFF,0.1,Friday 10.01.2025 -- 00:00:30,0
3.73,73.57,19.0,69.99,DoorCLOSED,PowerON,133.9,CompressorON,0.15,Friday 10.01.2025 -- 00:00:35,0
3.9,46.58,28.76,65.31,DoorCLOSED,PowerON,141.91,CompressorON,0.29,Friday 10.01.2025 -- 00:00:40,0
2.95,70.92,22.4,63.63,DoorCLOSED,PowerON,93.05,CompressorON,0.24,Friday 10.01.2025 -- 00:00:45,0
2.96,74.23,31.47,87.69,DoorCLOSED,PowerON,129.55,CompressorON,0.32,Friday 10.01.2025 -- 00:00:50,0
3.67,61.89,27.12,87.55,DoorCLOSED,PowerON,101.26,CompressorON,0.43,Friday 10.01.2025 -- 00:00:55,0
5.01,47.05,21.0,51.76,DoorCLOSED,PowerON,58.13,CompressorOFF,0.36,Friday 10.01.2025 -- 00:01:00,0
4.26,50.2,20.34,54.16,DoorCLOSED,PowerON,25.27,CompressorOFF,0.19,Friday 10.01.2025 -- 00:01:05,0
11.93,88.86,33.45,84.74,DoorOPEN,PowerON,240.23,CompressorON,1.52,Friday 10.01.2025 -- 00:01:10,1
7.73,79.06,28.21,61.77,DoorCLOSED,PowerON,231.64,CompressorON,1.01,Friday 10.01.2025 -- 00:01:15,1
2.38,53.91,22.91,82.47,DoorCLOSED,PowerON,156.52,CompressorON,0.12,Friday 10.01.2025 -- 00:01:20,0
3.08,57.94,30.58,55.56,DoorCLOSED,PowerON,23.67,CompressorOFF,0.16,Friday 10.01.2025 -- 00:01:25,0
3.75,61.97,22.45,82.36,DoorCLOSED,PowerON,57.17,CompressorOFF,0.37,Friday 10.01.2025 -- 00:01:30,0
