inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
2.41,46.8,24.36,50.02,DoorCLOSED,PowerON,154.47,CompressorON,0.58,Thursday 02.01.2025 -- 00:00:00,0
4.92,52.68,19.69,80.66,DoorCLOSED,PowerON,24.51,CompressorOFF,0.37,Thursday 02.01.2025 -- 00:00:05,0
2.81,71.37,26.73,56.54,DoorCLOSED,PowerON,131.91,CompressorON,0.07,Thursday 02.01.2025 -- 00:00:10,0
2.61,50.69,29.79,52.41,DoorCLOSED,PowerON,105.84,CompressorON,0.43,Thursday 02.01.2025 -- 00:00:15,0
2.71,45.02,29.39,88.51,DoorCLOSED,PowerON,204.1,CompressorON,0.34,Thursday 02.01.2025 -- 00:00:20,0
4.55,64.1,31.15,77.68,DoorCLOSED,PowerON,57.69,CompressorOFF,0.16,Thursday 02.01.2025 -- 00:00:25,0
9.67,75.64,27.76,92.99,DoorCLOSED,PowerON,201.08,CompressorON,1.37,Thursday 02.01.2025 -- 00:00:30,1
2.09,72.59,29.29,53.26,DoorCLOSED,PowerON,110.42,CompressorON,0.2,Thursday 02.01.2025 -- 00:00:35,0
4.75,53.25,19.93,59.82,DoorCLOSED,PowerON,29.14,CompressorOFF,0.29,Thursday 02.01.2025 -- 00:00:40,0
3.5,50.63,27.71,87.6,DoorCLOSED,PowerON,105.33,CompressorON,0.33,Thursday 02.01.2025 -- 00:00:45,0
3.78,57.93,23.61,84.44,DoorCLOSED,PowerON,149.82,CompressorON,0.08,Thursday 02.01.2025 -- 00:00:50,0
5.24,63.02,18.01,52.2,DoorCLOSED,PowerON,31.46,CompressorOFF,0.34,Thursday 02.01.2025 -- 00:00:55,0
6.67,82.1,20.96,63.43,DoorOPEN,PowerON,123.78,CompressorON,0.04,Thursday 02.01.2025 -- 00:01:00,0
3.65,55.17,27.32,70.61,DoorCLOSED,PowerON,154.16,CompressorON,0.32,Thursday 02.01.2025 -- 00:01:05,0
2.51,55.84,19.8,85.6,DoorCLOSED,PowerON,135.87,CompressorON,0.25,Thursday 02.01.2025 -- 00:01:10,0
2.14,60.9,25.65,58.59,DoorCLOSED,PowerON,110.18,CompressorON,0.34,Thursday 02.01.2025 -- 00:01:15,0
3.93,55.16,18.9,71.17,DoorCLOSED,PowerON,37.86,CompressorOFF,0.36,Thursday 02.01.2025 -- 00:01:20,0
3.81,52.36,25.01,84.28,DoorCLOSED,PowerON,153.64,CompressorON,0.13,Thursday 02.01.2025 -- 00:01:25,0
3.41,71.57,25.94,50.08,DoorCLOSED,PowerON,25.27,CompressorOFF,0.29,Thursday 02.01.2025 -- 00:01:30,0
3.91,64.07,31.32,80.64,DoorCLOSED,PowerON,151.55,CompressorON,0.33,Thursday 02.01.2025 -- 00:01:35,0
3.62,46.62,24.15,72.75,DoorCLOSED,PowerON,219.86,CompressorON,0.37,Thursday 02.01.2025 -- 00:01:40,0
7.68,76.69,27.83,56.56,DoorOPEN,PowerON,138.44,CompressorON,0.28,Thursday 02.01.2025 -- 00:01:45,0
3.2,48.79,29.06,65.69,DoorCLOSED,PowerON,116.56,CompressorON,0.19,Thursday 02.01.2025 -- 00:01:50,0
6.99,85.36,18.84,61.06,DoorOPEN,PowerON,151.83,CompressorON,0.3,Thursday 02.01.2025 -- 00:01:55,0
5.46,66.01,30.12,62.32,DoorCLOSED,PowerON,56.84,CompressorOFF,0.43,Thursday 02.01.2025 -- 00:02:00,0
4.04,61.11,19.02,70.23,DoorCLOSED,PowerON,38.7,CompressorOFF,0.2,Thursday 02.01.2025 -- 00:02:05,0
4.98,55.27,28.69,84.88,DoorCLOSED,PowerON,44.95,CompressorOFF,0.26,Thursday 02.01.2025 -- 00:02:10,0
3.23,67.02,28.23,69.58,DoorCLOSED,PowerON,115.76,CompressorON,0.41,Thursday 02.01.2025 -- 00:02:15,0
3.75,45.25,19.28,89.32,DoorCLOSED,PowerON,35.01,CompressorOFF,0.41,Thursday 02.01.2025 -- 00:02:20,0
11.4,89.0,34.89,63.21,DoorCLOSED,PowerON,243.82,CompressorON,0.8,Thursday 02.01.2025 -- 00:02:25,1
3.29,71.58,26.66,66.9,DoorCLOSED,PowerON,26.63,CompressorOFF,0.27,Thursday 02.01.2025 -- 00:02:30,0
3.22,47.15,31.16,54.79,DoorCLOSED,PowerON,48.74,CompressorOFF,0.41,Thursday 02.01.2025 -- 00:02:35,0
3.92,46.26,24.43,54.72,DoorCLOSED,PowerON,96.54,CompressorON,0.3,Thursday 02.01.2025 -- 00:02:40,0
5.27,48.9,28.3,88.27,DoorCLOSED,PowerON,103.99,CompressorON,0.15,Thursday 02.01.2025 -- 00:02:45,0
8.92,88.9,27.19,81.04,DoorOPEN,PowerON,192.07,CompressorON,1.5,Thursday 02.01.2025 -- 00:02:50,1
2.09,59.63,22.4,72.98,DoorCLOSED,PowerON,147.05,CompressorON,0.38,Thursday 02.01.2025 -- 00:02:55,0
3.13,51.25,30.72,76.72,DoorCLOSED,PowerON,98.26,CompressorON,0.41,Thursday 02.01.2025 -- 00:03:00,0
3.03,53.16,27.82,71.65,DoorCLOSED,PowerON,150.44,CompressorON,0.24,Thursday 02.01.2025 -- 00:03:05,0
3.45,59.16,31.18,69.39,DoorCLOSED,PowerON,155.45,CompressorON,0.19,Thursday 02.01.2025 -- 00:03:10,0
