inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
4.63,71.44,18.57,74.38,DoorCLOSED,PowerON,53.98,CompressorOFF,0.34,Saturday 18.01.2025 -- 00:00:00,0
3.73,72.46,30.75,74.65,DoorCLOSED,PowerON,35.23,CompressorOFF,0.25,Saturday 18.01.2025 -- 00:00:05,0
2.59,70.76,21.3,56.84,DoorCLOSED,PowerON,146.4,CompressorON,0.25,Saturday 18.01.2025 -- 00:00:10,0
2.66,63.94,23.26,84.13,DoorCLOSED,PowerON,158.84,CompressorON,0.12,Saturday 18.01.2025 -- 00:00:15,0
6.13,60.99,31.14,63.85,DoorCLOSED,PowerON,32.16,CompressorOFF,0.41,Saturday 18.01.2025 -- 00:00:20,0
3.68,72.37,21.95,70.14,DoorCLOSED,PowerON,43.28,CompressorOFF,0.45,Saturday 18.01.2025 -- 00:00:25,0
2.52,71.87,27.01,89.58,DoorCLOSED,PowerON,92.49,CompressorON,0.23,Saturday 18.01.2025 -- 00:00:30,0
2.11,62.46,23.89,52.47,DoorCLOSED,PowerON,99.57,CompressorON,1.02,Saturday 18.01.2025 -- 00:00:35,0
1.94,68.12,27.83,72.49,DoorCLOSED,PowerON,142.29,CompressorON,0.82,Saturday 18.01.2025 -- 00:00:40,0
4.03,71.35,21.48,86.01,DoorCLOSED,PowerON,147.19,CompressorON,0.07,Saturday 18.01.2025 -- 00:00:45,0
8.47,88.07,27.76,79.38,DoorCLOSED,PowerON,205.02,CompressorOFF,0.93,Saturday 18.01.2025 -- 00:00:50,1
3.29,56.48,21.81,76.74,DoorCLOSED,PowerON,34.27,CompressorOFF,0.38,Saturday 18.01.2025 -- 00:00:55,0
4.45,66.07,25.87,64.67,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.14,Saturday 18.01.2025 -- 00:01:00,0
4.67,48.18,30.07,70.11,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.41,Saturday 18.01.2025 -- 00:01:05,0
7.26,83.49,27.51,94.96,DoorCLOSED,PowerON,253.31,CompressorOFF,1.0,Saturday 18.01.2025 -- 00:01:10,1
3.6,77.3,19.35,82.42,DoorOPEN,PowerON,94.09,CompressorON,1.21,Saturday 18.01.2025 -- 00:01:15,0
1.96,47.22,22.61,87.19,DoorCLOSED,PowerON,103.82,CompressorON,0.32,Saturday 18.01.2025 -- 00:01:20,0
3.68,72.62,18.99,54.46,DoorCLOSED,PowerON,110.55,CompressorON,0.28,Saturday 18.01.2025 -- 00:01:25,0
6.25,61.3,24.69,77.45,DoorOPEN,PowerON,96.19,CompressorON,0.32,Saturday 18.01.2025 -- 00:01:30,0
7.13,87.32,30.41,60.57,DoorCLOSED,PowerON,195.24,CompressorOFF,1.22,Saturday 18.01.2025 -- 00:01:35,1
4.18,62.48,22.15,71.65,DoorCLOSED,PowerON,136.66,CompressorON,0.11,Saturday 18.01.2025 -- 00:01:40,0
2.3,63.5,21.38,60.34,DoorCLOSED,PowerON,144.75,CompressorON,0.23,Saturday 18.01.2025 -- 00:01:45,0
2.67,60.09,28.21,68.03,DoorCLOSED,PowerON,158.02,CompressorON,0.41,Saturday 18.01.2025 -- 00:01:50,0
2.84,54.3,30.65,77.2,DoorCLOSED,PowerON,98.87,CompressorON,0.34,Saturday 18.01.2025 -- 00:01:55,0
2.17,65.95,22.92,79.77,DoorCLOSED,PowerON,105.61,CompressorON,0.44,Saturday 18.01.2025 -- 00:02:00,0
3.9,50.35,24.53,84.81,DoorCLOSED,PowerON,22.73,CompressorOFF,0.03,Saturday 18.01.2025 -- 00:02:05,0
3.05,60.0,21.92,72.91,DoorCLOSED,PowerON,25.56,CompressorOFF,0.25,Saturday 18.01.2025 -- 00:02:10,0
4.13,73.52,28.14,58.36,DoorCLOSED,PowerON,96.27,CompressorON,0.08,Saturday 18.01.2025 -- 00:02:15,0
4.86,71.18,22.94,87.67,DoorCLOSED,PowerON,26.58,CompressorOFF,0.06,Saturday 18.01.2025 -- 00:02:20,0
5.32,66.3,23.53,72.25,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.32,Saturday 18.01.2025 -- 00:02:25,0
11.06,77.26,26.44,87.66,DoorCLOSED,PowerON,194.43,CompressorOFF,1.01,Saturday 18.01.2025 -- 00:02:30,1
6.46,61.02,23.93,69.6,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.06,Saturday 18.01.2025 -- 00:02:35,0
3.87,45.39,28.53,75.05,DoorCLOSED,PowerON,120.5,CompressorON,0.16,Saturday 18.01.2025 -- 00:02:40,0
3.58,63.98,23.78,88.55,DoorOPEN,PowerON,159.11,CompressorON,0.22,Saturday 18.01.2025 -- 00:02:45,0
3.77,64.6,21.3,79.71,DoorCLOSED,PowerON,41.52,CompressorOFF,0.17,Saturday 18.01.2025 -- 00:02:50,0
2.32,64.56,25.14,78.32,DoorCLOSED,PowerON,111.22,CompressorON,0.31,Saturday 18.01.2025 -- 00:02:55,0
4.33,82.0,28.55,65.7,DoorOPEN,PowerON,128.58,CompressorON,0.1,Saturday 18.01.2025 -- 00:03:00,0
10.42,85.6,27.61,88.03,DoorCLOSED,PowerON,231.31,CompressorON,1.35,Saturday 18.01.2025 -- 00:03:05,1
4.66,60.83,21.64,57.26,DoorCLOSED,PowerON,34.48,CompressorOFF,0.4,Saturday 18.01.2025 -- 00:03:10,0
5.33,60.43,27.12,51.45,DoorCLOSED,PowerON,54.27,CompressorOFF,0.23,Saturday 18.01.2025 -- 00:03:15,0
3.96,66.89,22.93,50.57,DoorCLOSED,PowerON,36.65,CompressorOFF,0.13,Saturday 18.01.2025 -- 00:03:20,0
3.65,56.36,25.81,66.42,DoorCLOSED,PowerON,128.49,CompressorON,0.27,Saturday 18.01.2025 -- 00:03:25,0
2.6,62.76,30.62,59.7,DoorCLOSED,PowerON,138.35,CompressorON,0.26,Saturday 18.01.2025 -- 00:03:30,0
3.92,50.85,20.65,59.95,DoorCLOSED,PowerON,152.77,CompressorON,0.24,Saturday 18.01.2025 -- 00:03:35,0
7.43,81.83,23.93,67.6,DoorOPEN,PowerON,130.66,CompressorON,0.26,Saturday 18.01.2025 -- 00:03:40,0
3.43,71.82,18.62,86.43,DoorCLOSED,PowerON,38.54,CompressorOFF,0.19,Saturday 18.01.2025 -- 00:03:45,0
3.84,51.56,29.49,55.9,DoorCLOSED,PowerON,100.48,CompressorON,0.21,Saturday 18.01.2025 -- 00:03:50,0
5.15,64.25,20.72,84.69,DoorCLOSED,PowerON,31.45,CompressorOFF,0.12,Saturday 18.01.2025 -- 00:03:55,0
5.14,72.43,31.71,83.05,DoorOPEN,PowerON,92.2,CompressorON,0.1,Saturday 18.01.2025 -- 00:04:00,0
4.42,58.19,27.15,81.83,DoorCLOSED,PowerON,32.48,CompressorOFF,0.38,Saturday 18.01.2025 -- 00:04:05,0
3.31,50.25,23.54,88.39,DoorCLOSED,PowerON,25.08,CompressorOFF,0.07,Saturday 18.01.2025 -- 00:04:10,0
4.8,61.17,24.76,52.13,DoorCLOSED,PowerON,40.05,CompressorOFF,0.18,Saturday 18.01.2025 -- 00:04:15,0
5.58,84.51,31.72,85.11,DoorOPEN,PowerON,109.23,CompressorON,0.43,Saturday 18.01.2025 -- 00:04:20,0
5.04,52.42,26.57,60.12,DoorCLOSED,PowerON,39.82,CompressorOFF,0.18,Saturday 18.01.2025 -- 00:04:25,0
3.13,65.84,19.49,62.11,DoorCLOSED,PowerON,27.74,CompressorOFF,0.42,Saturday 18.01.2025 -- 00:04:30,0
3.4,61.75,21.02,65.19,DoorCLOSED,PowerON,126.76,CompressorON,0.35,Saturday 18.01.2025 -- 00:04:35,0
3.34,70.33,28.67,76.91,DoorCLOSED,PowerON,27.48,CompressorOFF,0.09,Saturday 18.01.2025 -- 00:04:40,0
3.21,59.58,20.17,59.56,DoorCLOSED,PowerON,127.82,CompressorON,0.39,Saturday 18.01.2025 -- 00:04:45,0
5.42,57.19,28.35,64.78,DoorCLOSED,PowerON,27.24,CompressorOFF,0.36,Saturday 18.01.2025 -- 00:04:50,0
11.8,90.34,30.97,60.52,DoorOPEN,PowerON,212.94,CompressorON,1.0,Saturday 18.01.2025 -- 00:04:55,1
2.71,62.63,20.33,76.83,DoorCLOSED,PowerON,129.37,CompressorON,0.23,Saturday 18.01.2025 -- 00:05:00,0
4.2,70.1,30.91,69.81,DoorCLOSED,PowerON,32.01,CompressorOFF,0.08,Saturday 18.01.2025 -- 00:05:05,0
2.65,65.76,21.79,61.5,DoorCLOSED,PowerON,152.53,CompressorON,0.32,Saturday 18.01.2025 -- 00:05:10,0
7.05,88.8,31.03,87.45,DoorCLOSED,PowerON,180.81,CompressorON,1.56,Saturday 18.01.2025 -- 00:05:15,1
6.09,73.25,27.33,53.44,DoorCLOSED,PowerON,156.22,CompressorON,0.07,Saturday 18.01.2025 -- 00:05:20,0
3.07,52.91,28.47,67.17,DoorCLOSED,PowerON,137.1,CompressorON,0.12,Saturday 18.01.2025 -- 00:05:25,0
7.78,49.84,29.28,81.91,DoorCLOSED,PowerON,156.79,CompressorON,0.41,Saturday 18.01.2025 -- 00:05:30,0
3.77,50.93,30.2,76.91,DoorCLOSED,PowerON,131.52,CompressorON,0.36,Saturday 18.01.2025 -- 00:05:35,0
4.13,47.75,22.82,65.97,DoorCLOSED,PowerON,136.94,CompressorON,0.09,Saturday 18.01.2025 -- 00:05:40,0
2.49,55.39,30.53,82.11,DoorCLOSED,PowerON,200.93,CompressorON,0.27,Saturday 18.01.2025 -- 00:05:45,0
3.3,45.69,28.49,57.71,DoorCLOSED,PowerON,155.43,CompressorON,0.04,Saturday 18.01.2025 -- 00:05:50,0
3.44,52.95,20.2,53.7,DoorCLOSED,PowerON,45.48,CompressorOFF,0.3,Saturday 18.01.2025 -- 00:05:55,0
