inTemp,InHumid,outTemp,outHumid,DoorStatus,PowerStatus,ConsumoElectrico,CompressorStatus,Vibration,Timestamp,flag_mantenimiento
8.3,86.64,34.67,66.98,DoorCLOSED,PowerON,249.98,CompressorON,1.13,Thursday 09.01.2025 -- 00:00:00,1
7.56,68.0,25.2,76.96,DoorCLOSED,PowerON,140.47,CompressorON,0.43,Thursday 09.01.2025 -- 00:00:05,0
3.22,66.23,24.62,59.15,DoorCLOSED,PowerON,33.86,CompressorOFF,0.12,Thursday 09.01.2025 -- 00:00:10,0
6.82,88.81,34.12,86.05,DoorOPEN,PowerON,210.47,CompressorON,1.35,Thursday 09.01.2025 -- 00:00:15,1
8.29,87.48,33.65,69.57,DoorCLOSED,PowerON,183.25,CompressorON,1.39,Thursday 09.01.2025 -- 00:00:20,1
4.82,51.77,27.83,51.35,DoorCLOSED,PowerON,40.36,CompressorOFF,0.45,Thursday 09.01.2025 -- 00:00:25,0
4.04,69.72,23.73,57.89,DoorCLOSED,PowerON,129.47,CompressorON,0.37,Thursday 09.01.2025 -- 00:00:30,0
3.98,73.39,28.69,53.09,DoorCLOSED,PowerOFF,0.0,CompressorOFF,0.24,Thursday 09.01.2025 -- 00:00:35,0
3.93,47.7,25.65,75.46,DoorCLOSED,PowerON,32.45,CompressorOFF,0.36,Thursday 09.01.2025 -- 00:00:40,0
4.09,47.2,19.47,56.93,DoorCLOSED,PowerON,98.83,CompressorON,0.93,Thursday 09.01.2025 -- 00:00:45,0
4.22,73.61,24.75,77.3,DoorCLOSED,PowerON,34.23,CompressorOFF,0.2,Thursday 09.01.2025 -- 00:00:50,0
4.85,70.97,31.2,56.25,DoorCLOSED,PowerON,55.87,CompressorOFF,0.1,Thursday 09.01.2025 -- 00:00:55,0
2.41,47.19,25.96,70.41,DoorCLOSED,PowerON,135.5,CompressorON,0.04,Thursday 09.01.2025 -- 00:01:00,0
3.76,66.55,18.47,72.06,DoorCLOSED,PowerON,128.97,CompressorON,0.34,Thursday 09.01.2025 -- 00:01:05,0
4.0,70.42,22.1,50.67,DoorCLOSED,PowerON,145.49,CompressorON,0.05,Thursday 09.01.2025 -- 00:01:10,0
8.09,48.78,28.01,87.11,DoorCLOSED,PowerON,50.16,CompressorOFF,0.43,Thursday 09.01.2025 -- 00:01:15,0
4.16,66.38,24.06,66.04,DoorCLOSED,PowerON,145.32,CompressorON,0.26,Thursday 09.01.2025 -- 00:01:20,0
2.53,64.67,30.25,67.1,DoorCLOSED,PowerON,216.58,CompressorON,0.91,Thursday 09.01.2025 -- 00:01:25,0
4.88,48.01,25.05,51.94,DoorCLOSED,PowerON,58.07,CompressorOFF,0.34,Thursday 09.01.2025 -- 00:01:30,0
3.9,46.22,18.11,60.58,DoorCLOSED,PowerON,98.76,CompressorON,0.17,Thursday 09.01.2025 -- 00:01:35,0
3.59,65.58,28.42,57.37,DoorCLOSED,PowerON,24.63,CompressorOFF,0.03,Thursday 09.01.2025 -- 00:01:40,0
2.93,47.58,20.01,75.43,DoorCLOSED,PowerON,156.64,CompressorON,1.24,Thursday 09.01.2025 -- 00:01:45,0
4.72,74.37,22.45,79.17,DoorCLOSED,PowerON,21.8,CompressorOFF,0.07,Thursday 09.01.2025 -- 00:01:50,0
6.61,87.55,25.42,94.15,DoorCLOSED,PowerON,207.89,CompressorON,1.41,Thursday 09.01.2025 -- 00:01:55,1
2.77,51.82,29.39,84.93,DoorCLOSED,PowerON,135.23,CompressorON,1.21,Thursday 09.01.2025 -- 00:02:00,0
7.04,78.76,29.06,84.27,DoorOPEN,PowerON,130.94,CompressorON,0.38,Thursday 09.01.2025 -- 00:02:05,0
2.15,46.25,19.79,82.16,DoorCLOSED,PowerON,100.92,CompressorON,0.3,Thursday 09.01.2025 -- 00:02:10,0
5.42,49.66,29.66,59.29,DoorCLOSED,PowerON,40.31,CompressorOFF,0.14,Thursday 09.01.2025 -- 00:02:15,0
2.09,55.28,29.91,85.55,DoorCLOSED,PowerON,157.89,CompressorON,0.3,Thursday 09.01.2025 -- 00:02:20,0
3.28,69.99,19.84,52.21,DoorCLOSED,PowerON,25.98,CompressorOFF,0.21,Thursday 09.01.2025 -- 00:02:25,0
4.08,69.46,28.5,73.46,DoorCLOSED,PowerON,29.32,CompressorOFF,0.29,Thursday 09.01.2025 -- 00:02:30,0
7.7,69.16,27.82,89.53,DoorOPEN,PowerON,90.48,CompressorON,0.41,Thursday 09.01.2025 -- 00:02:35,0
3.31,45.81,20.05,89.17,DoorCLOSED,PowerON,93.18,CompressorON,0.21,Thursday 09.01.2025 -- 00:02:40,0
4.13,66.08,25.11,87.02,DoorOPEN,PowerON,121.42,CompressorON,0.19,Thursday 09.01.2025 -- 00:02:45,0
2.57,52.44,26.76,69.74,DoorCLOSED,PowerON,91.29,CompressorON,0.02,Thursday 09.01.2025 -- 00:02:50,0
3.02,54.75,25.47,52.25,DoorCLOSED,PowerON,56.03,CompressorOFF,0.1,Thursday 09.01.2025 -- 00:02:55,0
1.89,61.14,31.67,71.31,DoorCLOSED,PowerON,100.6,CompressorON,0.1,Thursday 09.01.2025 -- 00:03:00,0
4.38,69.12,20.3,55.31,DoorCLOSED,PowerON,22.19,CompressorOFF,0.11,Thursday 09.01.2025 -- 00:03:05,0
11.0,70.49,24.76,80.07,DoorOPEN,PowerON,141.49,CompressorON,0.44,Thursday 09.01.2025 -- 00:03:10,0
